experiment,condition,K,DNI,R,baseline_org
size,6,0.070000,-0.300603,0.478006,4.613345
size,6,0.100000,0.968079,0.713731,4.500825
size,6,0.150000,-0.113098,0.670236,4.600382
size,6,0.200000,1.022667,0.900147,4.684174
size,6,0.300000,0.940039,0.935299,4.611455
size,6,0.500000,0.461268,0.964220,4.702193
size,6,0.800000,1.118624,0.974388,4.851128
size,6,1.000000,1.311936,0.978290,4.790145
size,8,0.000000,0.541753,0.347651,6.454043
size,8,0.001000,-0.239537,0.268883,6.380948
size,8,0.005000,-0.002574,0.312642,6.324018
size,8,0.010000,-0.468900,0.413637,6.507291
size,8,0.020000,-0.197450,0.242337,6.432811
size,8,0.030000,0.024432,0.336705,6.518602
size,8,0.050000,0.251632,0.460916,6.322297
size,8,0.070000,-0.363090,0.396647,6.434752
size,8,0.100000,0.362652,0.522479,6.432657
size,8,0.150000,-0.102681,0.634561,6.434274
size,8,0.200000,0.819569,0.826041,6.484300
size,8,0.300000,0.859581,0.912298,6.444591
size,8,0.500000,0.954325,0.901025,6.509240
size,8,0.800000,0.820400,0.983064,6.838965
size,8,1.000000,0.854453,0.986350,6.651887
size,12,0.000000,0.024192,0.300231,10.145795
size,12,0.001000,0.150931,0.279030,10.082886
size,12,0.005000,0.073764,0.266413,9.910269
size,12,0.010000,0.248065,0.252473,10.204169
size,12,0.020000,0.160323,0.230640,10.171502
size,12,0.030000,0.000239,0.251745,10.196113
size,12,0.050000,-0.228018,0.464289,10.087428
size,12,0.070000,-0.335481,0.219332,10.116010
size,12,0.100000,0.229881,0.392374,10.166491
size,12,0.150000,0.126309,0.391951,10.100188
size,12,0.200000,0.916592,0.895792,10.218958
size,12,0.300000,0.915911,0.908671,10.189944
size,12,0.500000,0.905281,0.955768,10.261492
size,12,0.800000,0.970122,0.982503,10.567727
size,12,1.000000,0.884028,0.984861,10.488400
size,16,0.000000,0.081525,0.201805,13.888146
size,16,0.001000,0.125816,0.207153,13.749188
size,16,0.005000,-0.084832,0.188878,13.578809
size,16,0.010000,0.102387,0.230970,13.928832
size,16,0.020000,-0.044897,0.260812,13.810862
size,16,0.030000,-0.172718,0.229489,13.935512
size,16,0.050000,-0.045025,0.208457,13.766885
size,16,0.070000,-0.065861,0.256480,13.849293
size,16,0.100000,0.289095,0.334205,13.864484
size,16,0.150000,0.488617,0.571097,13.792578
size,16,0.200000,0.544562,0.707111,13.951178
size,16,0.300000,0.792346,0.879225,13.909895
size,16,0.500000,1.046106,0.955079,14.079125
size,16,0.800000,0.893937,0.982885,14.214308
size,16,1.000000,1.017822,0.991131,14.296308
size,24,0.000000,0.061415,0.149708,21.332268
size,24,0.001000,0.026997,0.184788,21.222930
size,24,0.005000,0.046619,0.164065,21.077119
